# Example of 'dataset.csv' containing the first 100 lines for demonstration purposes. 
# This file mimics the structure of the actual dataset, which is significantly larger. 

['TimeStep', 'Time', 'Cell Type', 'Coordinates:0', 'Coordinates:1', 'Coordinates:2', 'U:0', 'U:1', 'U:2', 'k', 'omega', 'p']
['0', '0.017', '12', '253.12', '56.25', '15.625', '-74.897', '-0.51436', '0.063483', '0.20531', '1.3843', '146.9']
['0', '0.017', '12', '265.62', '56.25', '15.625', '-74.069', '-0.64587', '0.016999', '0.20419', '1.4007', '186.03']
['0', '0.017', '12', '278.12', '56.25', '15.625', '-73.021', '-0.69877', '-0.01717', '0.2053', '1.4222', '239.12']
['0', '0.017', '12', '290.62', '56.25', '15.625', '-71.922', '-0.71087', '-0.081845', '0.20738', '1.4468', '298.3']
['0', '0.017', '12', '265.62', '81.25', '15.625', '-75.306', '-2.9712', '-0.24369', '0.22021', '1.4507', '159.77']
['0', '0.017', '12', '278.12', '81.25', '15.625', '-73.956', '-2.78', '-0.41793', '0.21223', '1.4467', '223.02']
['0', '0.017', '12', '290.62', '81.25', '15.625', '-72.535', '-2.6737', '-0.50453', '0.20931', '1.4573', '302.9']
['0', '0.017', '12', '303.12', '81.25', '15.625', '-71.214', '-2.5369', '-0.45402', '0.2095', '1.478', '383.48']
['0', '0.017', '12', '253.12', '56.25', '28.125', '-75.253', '-0.66526', '0.30869', '0.22053', '1.4046', '139.14']
['0', '0.017', '12', '290.62', '56.25', '28.125', '-72.031', '-0.85317', '-0.082996', '0.21394', '1.4518', '295.63']
['0', '0.017', '12', '303.12', '56.25', '28.125', '-70.899', '-0.78193', '-0.040234', '0.21651', '1.4775', '361.92']
['0', '0.017', '12', '253.12', '81.25', '28.125', '-77.317', '-4.0663', '0.40932', '0.29929', '1.5905', '101.8']
['0', '0.017', '12', '315.62', '81.25', '28.125', '-69.909', '-2.8221', '-0.49014', '0.21946', '1.5113', '457.16']
['0', '0.017', '12', '276.56', '103.12', '26.562', '-73.882', '-6.6899', '-2.7189', '0.81688', '2.6484', '143.56']
